stfdem,trstprt,political_efficacy_index,social_trust_index,hincfel,lrscale,eduyrs,agea,gndr,vote_clean,vote_binary,political_efficacy_index_z,social_trust_index_z,hincfel_z,lrscale_z,eduyrs_z,agea_z
1.0,1.0,2.75,4.666666666666667,3.0,5.0,13.0,56.0,1.0,Voted,1,0.3258882453885992,-0.595997505595397,2.206217785019821,0.25952744239745473,-0.5288235105813693,0.19509736508985406
5.0,4.0,2.0,6.333333333333333,2.0,4.0,14.0,51.0,1.0,Voted,1,-0.7238256520170899,0.4417440597402704,0.6688668369168803,-0.3055196473792817,-0.22821989564335046,-0.08485324777545349
4.0,5.0,1.75,7.0,2.0,6.0,17.0,60.0,2.0,Voted,1,-1.0737302844856529,0.8568406858745377,0.6688668369168803,0.8245745321741912,0.6735909491707062,0.4190578553821001
7.0,4.0,3.0,5.666666666666667,1.0,5.0,14.0,39.0,2.0,Voted,1,0.6757928778571621,0.026647433606003672,-0.8684841111860602,0.25952744239745473,-0.22821989564335046,-0.7567347186521917
8.0,9.0,2.0,5.666666666666667,1.0,4.0,15.0,59.0,2.0,Voted,1,-0.7238256520170899,0.026647433606003672,-0.8684841111860602,-0.3055196473792817,0.0723837192946684,0.3630677328090386
5.0,5.0,2.6666666666666665,4.666666666666667,1.0,5.0,14.0,46.0,2.0,Voted,1,0.20925336789907795,-0.595997505595397,-0.8684841111860602,0.25952744239745473,-0.22821989564335046,-0.36480386064076104
4.0,4.0,3.0,4.0,1.0,4.0,10.0,44.0,2.0,Voted,1,0.6757928778571621,-1.0110941317296642,-0.8684841111860602,-0.3055196473792817,-1.430634355395426,-0.47678410578688407
8.0,7.0,3.5,6.333333333333333,1.0,6.0,18.0,43.0,1.0,Voted,1,1.3756021427942882,0.4417440597402704,-0.8684841111860602,0.8245745321741912,0.974194564108725,-0.5327742283599456
5.0,0.0,1.5,3.3333333333333335,2.0,5.0,12.0,52.0,2.0,Voted,1,-1.423634916954216,-1.4261907578639312,0.6688668369168803,0.25952744239745473,-0.8294271255193882,-0.028863125202391978
8.0,6.0,2.75,6.0,2.0,1.0,14.0,60.0,2.0,Voted,1,0.3258882453885992,0.23419574667313706,0.6688668369168803,-2.0006609167094913,-0.22821989564335046,0.4190578553821001
4.0,3.0,1.75,2.6666666666666665,1.0,5.0,14.0,75.0,2.0,Voted,1,-1.0737302844856529,-1.8412873839981987,-0.8684841111860602,0.25952744239745473,-0.22821989564335046,1.2589096939780229
2.0,2.0,2.75,6.333333333333333,2.0,5.0,12.0,63.0,2.0,Voted,1,0.3258882453885992,0.4417440597402704,0.6688668369168803,0.25952744239745473,-0.8294271255193882,0.5870282231012847
3.0,1.0,2.75,5.333333333333333,2.0,7.0,18.0,39.0,1.0,Voted,1,0.3258882453885992,-0.18090087946113026,0.6688668369168803,1.3896216219509276,0.974194564108725,-0.7567347186521917
5.0,3.0,2.25,4.666666666666667,2.0,4.0,13.0,64.0,1.0,Did not vote,0,-0.37392101954852686,-0.595997505595397,0.6688668369168803,-0.3055196473792817,-0.5288235105813693,0.6430183456743461
7.0,6.0,1.5,7.0,2.0,3.0,12.0,68.0,2.0,Voted,1,-1.423634916954216,0.8568406858745377,0.6688668369168803,-0.8705667371560182,-0.8294271255193882,0.8669788359665922
7.0,5.0,2.75,6.0,1.0,4.0,15.0,67.0,1.0,Voted,1,0.3258882453885992,0.23419574667313706,-0.8684841111860602,-0.3055196473792817,0.0723837192946684,0.8109887133935307
3.0,0.0,1.5,5.666666666666667,1.0,5.0,12.0,60.0,1.0,Voted,1,-1.423634916954216,0.026647433606003672,-0.8684841111860602,0.25952744239745473,-0.8294271255193882,0.4190578553821001
5.0,2.0,1.5,7.0,1.0,4.0,15.0,40.0,1.0,Did not vote,0,-1.423634916954216,0.8568406858745377,-0.8684841111860602,-0.3055196473792817,0.0723837192946684,-0.7007445960791301
3.0,1.0,1.75,4.333333333333333,2.0,5.0,12.0,39.0,2.0,Did not vote,0,-1.0737302844856529,-0.8035458186625309,0.6688668369168803,0.25952744239745473,-0.8294271255193882,-0.7567347186521917
5.0,3.0,2.0,6.666666666666667,2.0,5.0,12.0,35.0,2.0,Voted,1,-0.7238256520170899,0.6492923728074044,0.6688668369168803,0.25952744239745473,-0.8294271255193882,-0.9806952089444377
3.0,4.0,2.5,3.6666666666666665,2.0,3.0,13.0,55.0,2.0,Voted,1,-0.024016387079963866,-1.2186424447967978,0.6688668369168803,-0.8705667371560182,-0.5288235105813693,0.13910724251679257
2.0,4.0,2.5,5.666666666666667,2.0,4.0,15.0,66.0,2.0,Voted,1,-0.024016387079963866,0.026647433606003672,0.6688668369168803,-0.3055196473792817,0.0723837192946684,0.7549985908204692
6.0,1.0,3.5,8.666666666666666,1.0,0.0,18.0,59.0,2.0,Voted,1,1.3756021427942882,1.894582251210205,-0.8684841111860602,-2.5657080064862274,0.974194564108725,0.3630677328090386
4.0,6.0,2.25,4.0,2.0,3.0,10.0,75.0,2.0,Voted,1,-0.37392101954852686,-1.0110941317296642,0.6688668369168803,-0.8705667371560182,-1.430634355395426,1.2589096939780229
8.0,5.0,3.0,6.0,1.0,5.0,14.0,61.0,2.0,Voted,1,0.6757928778571621,0.23419574667313706,-0.8684841111860602,0.25952744239745473,-0.22821989564335046,0.4750479779551616
6.0,4.0,1.75,6.666666666666667,2.0,5.0,8.0,42.0,2.0,Voted,1,-1.0737302844856529,0.6492923728074044,0.6688668369168803,0.25952744239745473,-2.0318415852714637,-0.5887643509330072
3.0,2.0,2.75,6.666666666666667,2.0,5.0,19.0,33.0,1.0,Did not vote,0,0.3258882453885992,0.6492923728074044,0.6688668369168803,0.25952744239745473,1.274798179046744,-1.0926754540905608
8.0,5.0,2.75,8.0,2.0,5.0,12.0,65.0,1.0,Did not vote,0,0.3258882453885992,1.4794856250759383,0.6688668369168803,0.25952744239745473,-0.8294271255193882,0.6990084682474077
7.0,1.0,2.0,5.0,1.0,3.0,14.0,56.0,2.0,Voted,1,-0.7238256520170899,-0.3884491925282636,-0.8684841111860602,-0.8705667371560182,-0.22821989564335046,0.19509736508985406
2.0,3.0,2.5,2.6666666666666665,1.0,7.0,13.0,22.0,1.0,Voted,1,-0.024016387079963866,-1.8412873839981987,-0.8684841111860602,1.3896216219509276,-0.5288235105813693,-1.7085668023942373
8.0,7.0,2.5,8.0,1.0,5.0,11.0,81.0,2.0,Voted,1,-0.024016387079963866,1.4794856250759383,-0.8684841111860602,0.25952744239745473,-1.130030740457407,1.5948504294163919
6.0,4.0,2.75,5.0,2.0,4.0,16.0,27.0,2.0,Voted,1,0.3258882453885992,-0.3884491925282636,0.6688668369168803,-0.3055196473792817,0.37298733423268726,-1.4286161895289298
3.0,0.0,1.75,2.3333333333333335,1.0,0.0,12.0,66.0,2.0,Did not vote,0,-1.0737302844856529,-2.048835697065332,-0.8684841111860602,-2.5657080064862274,-0.8294271255193882,0.7549985908204692
0.0,0.0,2.5,4.0,2.0,4.0,9.0,58.0,2.0,Did not vote,0,-0.024016387079963866,-1.0110941317296642,0.6688668369168803,-0.3055196473792817,-1.7312379703334448,0.3070776102359771
1.0,2.0,2.5,3.0,2.0,5.0,13.0,41.0,2.0,Voted,1,-0.024016387079963866,-1.6337390709310649,0.6688668369168803,0.25952744239745473,-0.5288235105813693,-0.6447544735060686
6.0,5.0,2.0,5.333333333333333,2.0,4.0,12.0,74.0,1.0,Voted,1,-0.7238256520170899,-0.18090087946113026,0.6688668369168803,-0.3055196473792817,-0.8294271255193882,1.2029195714049614
7.0,5.0,1.5,7.333333333333333,2.0,7.0,8.0,87.0,2.0,Did not vote,0,-1.423634916954216,1.064388998941671,0.6688668369168803,1.3896216219509276,-2.0318415852714637,1.9307911648547609
0.0,1.0,2.75,4.666666666666667,2.0,5.0,16.0,30.0,1.0,Voted,1,0.3258882453885992,-0.595997505595397,0.6688668369168803,0.25952744239745473,0.37298733423268726,-1.2606458218097452
3.0,2.0,3.5,4.666666666666667,1.0,6.0,18.0,68.0,2.0,Voted,1,1.3756021427942882,-0.595997505595397,-0.8684841111860602,0.8245745321741912,0.974194564108725,0.8669788359665922
4.0,3.0,2.25,7.333333333333333,1.0,5.0,17.0,53.0,2.0,Voted,1,-0.37392101954852686,1.064388998941671,-0.8684841111860602,0.25952744239745473,0.6735909491707062,0.027126997370669537
8.0,1.0,1.5,5.333333333333333,1.0,3.0,11.0,69.0,2.0,Voted,1,-1.423634916954216,-0.18090087946113026,-0.8684841111860602,-0.8705667371560182,-1.130030740457407,0.9229689585396538
