cntry,stfdem,trstprl,trstplt,trstprt,trstlgl,trstplc,trstep,trstun,social_trust_index,social_trust_group,political_efficacy_index,efficacy_group,vote_clean,hincfel,lrscale,lr_group,eduyrs,agea,gndr
DE,8.0,4.0,3.0,4.0,8.0,10.0,5.0,5.0,6.666666666666667,High social trust,2.0,Low efficacy,Voted,1.0,6.0,Center (4-6),17.0,39.0,2.0
DE,9.0,5.0,4.0,4.0,7.0,8.0,5.0,5.0,5.666666666666667,Medium social trust,1.75,Low efficacy,Voted,2.0,2.0,Left (0-3),13.0,60.0,2.0
DE,3.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,4.666666666666667,Low social trust,2.5,Medium efficacy,Did not vote,1.0,5.0,Center (4-6),13.0,22.0,2.0
DE,8.0,9.0,6.0,4.0,10.0,10.0,7.0,8.0,6.333333333333333,Medium social trust,2.75,Medium efficacy,Voted,1.0,5.0,Center (4-6),17.0,43.0,1.0
DE,1.0,2.0,1.0,1.0,8.0,8.0,0.0,1.0,4.666666666666667,Low social trust,3.25,High efficacy,Voted,1.0,7.0,Right (7-10),18.0,53.0,2.0
DE,8.0,10.0,7.0,5.0,10.0,8.0,9.0,9.0,6.333333333333333,Medium social trust,3.25,High efficacy,Voted,1.0,4.0,Center (4-6),15.0,24.0,1.0
DE,6.0,8.0,7.0,7.0,8.0,7.0,8.0,8.0,6.666666666666667,High social trust,2.0,Low efficacy,Voted,1.0,6.0,Center (4-6),18.0,30.0,1.0
DE,8.0,5.0,8.0,4.0,8.0,8.0,5.0,5.0,6.333333333333333,Medium social trust,1.0,Low efficacy,Voted,1.0,3.0,Left (0-3),12.0,73.0,2.0
DE,8.0,7.0,2.0,2.0,9.0,9.0,4.0,5.0,2.0,Low social trust,2.5,Medium efficacy,Voted,1.0,8.0,Right (7-10),11.0,82.0,1.0
DE,6.0,4.0,4.0,4.0,5.0,8.0,3.0,6.0,6.333333333333333,Medium social trust,2.75,Medium efficacy,Voted,2.0,4.0,Center (4-6),13.0,63.0,2.0
DE,7.0,7.0,5.0,5.0,7.0,6.0,5.0,5.0,6.333333333333333,Medium social trust,3.0,High efficacy,Voted,1.0,5.0,Center (4-6),20.0,40.0,1.0
DE,9.0,8.0,4.0,3.0,9.0,7.0,7.0,3.0,2.0,Low social trust,2.0,Low efficacy,Voted,1.0,5.0,Center (4-6),16.0,29.0,2.0
DE,3.0,3.0,3.0,3.0,6.0,4.0,3.0,4.0,7.0,High social trust,2.25,Low efficacy,Voted,1.0,2.0,Left (0-3),17.0,48.0,1.0
DE,8.0,8.0,5.0,7.0,8.0,7.0,8.0,9.0,5.333333333333333,Medium social trust,3.5,High efficacy,Voted,1.0,4.0,Center (4-6),19.0,40.0,2.0
DE,9.0,8.0,8.0,6.0,9.0,9.0,8.0,9.0,7.333333333333333,High social trust,3.75,High efficacy,Voted,1.0,4.0,Center (4-6),18.0,28.0,2.0
