PC1,PC2,PC3,cluster,democratic_connection_profile,Democracy satisfaction,Party trust,Political efficacy,Social trust,Income feeling,Left-right placement,Voting participation
-1.057088609648903,-0.0794203659182668,-0.7420464155388301,0,Disappointed Democratic Participants,8.0,2.0,2.25,2.0,2.0,4.0,1
0.1496722041385429,0.9785120572636984,0.5734716244791584,1,Connected Democratic Core,5.0,5.0,2.0,6.333333333333333,1.0,6.0,1
2.286859347320656,-0.10718835553754393,-0.41346083163217784,1,Connected Democratic Core,8.0,6.0,3.5,6.666666666666667,1.0,3.0,1
-2.0457524787613712,0.44473413231537196,-0.5845869342695489,0,Disappointed Democratic Participants,3.0,2.0,2.0,3.0,2.0,5.0,1
0.5420761157866456,-0.6528357758173782,0.08173075095540443,1,Connected Democratic Core,7.0,7.0,2.25,4.666666666666667,2.0,4.0,1
3.0719409306395282,-0.12592975797645303,0.4843707393292457,1,Connected Democratic Core,9.0,8.0,3.5,7.666666666666667,1.0,4.0,1
0.9222488210299492,0.47434616040440897,0.4004124594591931,1,Connected Democratic Core,8.0,5.0,2.0,6.666666666666667,1.0,5.0,1
-0.20193155892606698,0.1652740791383728,0.707406304224999,0,Disappointed Democratic Participants,7.0,4.0,2.25,5.333333333333333,2.0,6.0,1
0.2928581595624296,1.055655601075997,0.493784254332189,1,Connected Democratic Core,5.0,5.0,2.5,5.666666666666667,1.0,6.0,1
-1.3606568532404952,-2.5604810695409643,1.4667838671911075,2,Disengaged Non-voters,6.0,3.0,3.25,4.333333333333333,3.0,5.0,0
0.2047347377427755,-0.14317438471714136,-2.1421231599137136,1,Connected Democratic Core,4.0,2.0,2.5,6.666666666666667,1.0,1.0,1
1.00653674746223,0.6164259901993161,0.21627669407967692,1,Connected Democratic Core,9.0,5.0,2.75,4.333333333333333,1.0,5.0,1
-0.4019633248251109,-0.5438270478188104,2.3676228050132133,2,Disengaged Non-voters,6.0,4.0,2.5,6.666666666666667,1.0,7.0,0
-1.3620219040450436,0.2377342221569962,-0.2499699477923854,0,Disappointed Democratic Participants,2.0,3.0,2.0,5.666666666666667,2.0,5.0,1
-0.03814719671319422,-0.27922908847398503,0.44078502756564075,0,Disappointed Democratic Participants,6.0,5.0,1.75,6.666666666666667,2.0,5.0,1
-0.30655157311605685,-0.012198807213092288,0.11427560138909844,0,Disappointed Democratic Participants,7.0,2.0,2.25,6.333333333333333,2.0,5.0,1
0.8994851026383821,-0.6358680226577489,-2.322196764410497,1,Connected Democratic Core,5.0,3.0,2.5,7.333333333333333,1.0,0.0,1
0.6026493033193087,-0.3285702761289967,0.5565776568558665,1,Connected Democratic Core,5.0,7.0,2.5,6.333333333333333,2.0,5.0,1
3.9167436837299814,-0.6236579481470202,-0.457464713795233,1,Connected Democratic Core,9.0,7.0,4.5,8.666666666666666,1.0,2.0,1
-1.9584239468942715,0.37243222120385766,-0.5007982518907874,0,Disappointed Democratic Participants,5.0,1.0,1.75,3.3333333333333335,2.0,5.0,1
0.4550486747289158,1.0111398405026306,0.5676453699891059,1,Connected Democratic Core,5.0,5.0,2.5,6.333333333333333,1.0,6.0,1
0.5331412457559923,0.4426278136027343,-0.3895405652618813,1,Connected Democratic Core,7.0,3.0,2.25,6.666666666666667,1.0,4.0,1
-0.5971289659075879,1.1612076071096344,-0.5215648881777213,0,Disappointed Democratic Participants,7.0,0.0,2.5,4.666666666666667,1.0,5.0,1
1.8321257495873344,0.3295172629110157,-0.1525116720016593,1,Connected Democratic Core,9.0,4.0,3.5,6.333333333333333,1.0,4.0,1
0.5549095038101833,-0.2280181347032528,0.41071477175278737,1,Connected Democratic Core,8.0,5.0,2.75,5.0,2.0,5.0,1
0.6998519577866255,0.7195021240531815,0.08697220959859105,1,Connected Democratic Core,7.0,5.0,2.75,4.666666666666667,1.0,5.0,1
-3.9225390385772636,-1.8089700531467765,3.707546765438051,2,Disengaged Non-voters,0.0,3.0,1.75,6.333333333333333,4.0,10.0,0
-0.5173228184796987,1.5674099219507702,-0.13117782588000979,0,Disappointed Democratic Participants,2.0,2.0,3.25,5.666666666666667,1.0,6.0,1
0.756645857699727,-0.44796030160232836,0.6887952685819788,1,Connected Democratic Core,7.0,7.0,2.25,6.0,2.0,5.0,1
0.341192699698903,0.33745683836278356,-1.0664599504765435,1,Connected Democratic Core,5.0,2.0,2.5,7.333333333333333,1.0,3.0,1
1.477234299503333,0.27244280827151246,-0.15904842750523276,1,Connected Democratic Core,7.0,8.0,3.25,3.3333333333333335,1.0,4.0,1
-0.3761838643257879,0.07414771660555432,0.04890466584308511,0,Disappointed Democratic Participants,3.0,3.0,2.5,7.666666666666667,2.0,5.0,1
1.3969941782649058,-1.503382121294273,1.1837738288505697,1,Connected Democratic Core,9.0,9.0,3.0,5.0,3.0,5.0,1
-3.115025874683492,-1.2660547732043916,-1.0755427148944616,2,Disengaged Non-voters,0.0,1.0,1.25,4.0,1.0,2.0,0
0.2639602682897347,-0.23581568386705107,0.40504265472394774,1,Connected Democratic Core,8.0,4.0,2.25,6.0,2.0,5.0,1
0.8462634976651094,-0.4559507702953016,-0.07453738484276404,1,Connected Democratic Core,8.0,3.0,3.0,7.0,2.0,4.0,1
-1.037640873712071,0.14870270101026303,-0.10224771647855146,0,Disappointed Democratic Participants,2.0,3.0,2.0,7.0,2.0,5.0,1
-0.5514932954769667,-0.04187067398901083,0.12167266067619893,0,Disappointed Democratic Participants,5.0,4.0,2.0,5.666666666666667,2.0,5.0,1
2.2038226121650775,0.0829075070593645,0.14341047459925332,1,Connected Democratic Core,9.0,7.0,3.25,5.666666666666667,1.0,4.0,1
1.5499021928747907,-0.6845837171762936,1.0396831000338156,1,Connected Democratic Core,9.0,7.0,2.25,7.666666666666667,2.0,5.0,1
0.10238370268047399,-0.5161902665461331,-0.886338307404389,1,Connected Democratic Core,8.0,1.0,2.75,6.0,2.0,3.0,1
3.017758665623799,0.1138265727707236,1.0182453025228921,1,Connected Democratic Core,10.0,7.0,3.25,8.666666666666666,1.0,5.0,1
0.21325620008419724,-0.09600513298447784,0.24223776342220588,1,Connected Democratic Core,7.0,4.0,2.75,5.333333333333333,2.0,5.0,1
-0.9185886211790653,1.0073040821595998,-0.3860515293963005,0,Disappointed Democratic Participants,5.0,3.0,1.75,4.0,1.0,5.0,1
-1.449103325810743,-0.5397599127477254,-1.786546248339344,0,Disappointed Democratic Participants,3.0,1.0,1.75,5.666666666666667,2.0,2.0,1
